Run,7/129,8/257,9/513,10/1025,11/2049
1,1.685928,7.786364,34.053969,155.618002,808.322929
2,1.739246,7.268754,32.980699,160.969702,827.502339
3,1.738339,7.457112,32.403373,155.044611,796.691238
4,1.738531,7.538541,33.908510,157.800603,829.537510
5,1.867211,8.062561,35.351740,163.492409,835.841427
