Run,7/129,8/257,9/513,10/1025,11/2049
1,1.088167,4.843268,23.755189,119.962363,704.033159
2,1.045332,5.085561,22.952544,122.579714,713.105334
3,1.097864,4.931122,22.899386,121.801198,724.313622
4,1.190251,5.341397,23.023356,120.502777,733.685450
5,1.096527,4.843020,23.405806,122.815124,721.390095
