Run,7/129,8/257,9/513,10/1025,11/2049
1,1.252136,5.498049,25.554531,127.918085,729.459223
2,1.375770,6.194954,27.834717,136.744421,728.516601
3,1.171893,5.368684,24.001088,122.781726,735.500022
4,1.457392,5.906957,26.232605,128.576381,736.336115
5,1.375934,5.853201,24.352297,125.166532,730.198371
