run,10000,100000,1000000,10000000,100000000,1000000000
1,0.013704,0.080928,0.624268,5.804256,58.009938,579.444964
2,0.013571,0.081404,0.623692,5.958526,57.960948,576.747928
3,0.013689,0.081446,0.622400,5.805353,58.533669,578.031489
4,0.013674,0.082782,0.624105,5.852130,58.031299,578.118718
5,0.013505,0.081787,0.675645,5.818210,58.034062,576.932107
6,0.013734,0.081465,0.624248,5.813798,57.942793,577.596923
7,0.013699,0.081658,0.623453,5.807590,57.964266,577.071398
8,0.013527,0.081703,0.624283,5.811012,57.912957,578.613940
9,0.013639,0.080932,0.627600,5.808330,57.990258,577.357884
10,0.013765,0.081180,0.623927,5.804714,57.950600,577.052614
