Run,7/129,8/257,9/513,10/1025,11/2049
1,49520,198122,792553,3170329,12681591
2,49520,198122,792553,3170329,12681591
3,49520,198122,792553,3170329,12681591
4,49520,198122,792553,3170329,12681591
5,49520,198122,792553,3170329,12681591
6,49520,198122,792553,3170329,12681591
7,49520,198122,792553,3170329,12681591
8,49520,198122,792553,3170329,12681591
9,49520,198122,792553,3170329,12681591
10,49520,198122,792553,3170329,12681591
