Run,400,600,800,1200,1600,2400,3200,4800,6400,9600
1,0.036045,0.159671,0.398493,1.349704,3.542600,28.810500,90.399861,343.149353,889.335037,3540.817689
2,0.036158,0.158724,0.397105,1.348266,3.408115,28.662848,91.858887,339.446953,892.409423,3560.893788
3,0.036300,0.158826,0.396915,1.345518,3.483851,28.529973,91.761217,344.946540,893.361719,3531.881327
4,0.029878,0.158997,0.397637,1.345262,3.640326,28.450762,91.435121,342.358180,894.789694,3570.511822
5,0.036139,0.158914,0.396564,1.346305,3.660992,28.353033,89.386885,340.272192,889.688611,3537.310652
6,0.036110,0.158688,0.397604,1.342717,3.351251,28.460683,90.750887,342.719071,889.418247,3549.207016
7,0.035790,0.158920,0.396342,1.344226,3.443135,28.037390,89.970183,337.329293,895.837365,3554.071864
8,0.035746,0.158439,0.395809,1.339459,3.518397,28.340762,95.020763,361.914725,936.223722,3621.552945
9,0.035865,0.158900,0.395953,1.339098,3.668243,28.121756,91.089693,337.830357,888.794134,3551.345006
10,0.035854,0.158435,0.395071,1.338139,3.495581,28.072759,89.402425,342.081434,890.799321,3614.610898
