Run,7/129,8/257,9/513,10/1025,11/2049
1,1.498574,6.311671,28.524524,143.543259,763.558359
2,1.576348,6.403979,27.918459,139.207158,775.526121
3,1.741557,7.180332,28.564829,138.128565,766.486820
4,1.371449,6.395360,28.811168,142.809728,775.536535
5,1.530051,6.691519,29.588448,144.870871,780.311611
