Run,7/129,8/257,9/513,10/1025,11/2049
1,2.514521,10.358780,44.045949,198.026364,1022.969676
2,2.785905,11.408170,48.336800,218.184364,1003.469625
3,2.521372,10.519029,48.122599,214.747357,1029.100538
4,2.800454,11.604961,47.312894,206.936585,1027.670099
5,2.811815,11.479402,46.256880,205.883719,992.625792
