Run,7/129,8/257,9/513,10/1025,11/2049
1,1.117875,4.920579,23.811842,123.901999,765.382345
2,1.113986,5.354297,26.100611,131.173957,787.157162
3,1.232022,5.277389,25.403166,132.209153,781.643650
4,1.206910,5.068503,24.823190,131.582766,794.376131
5,1.351449,6.008401,27.113949,138.080616,761.701287
