Run,7/129,8/257,9/513,10/1025,11/2049
1,49520,198122,792553,3170329,12681552
2,49520,198122,792553,3170329,12681552
3,49520,198122,792553,3170329,12681552
4,49520,198122,792553,3170329,12681552
5,49520,198122,792553,3170329,12681552
6,49520,198122,792553,3170329,12681552
7,49520,198122,792553,3170329,12681552
8,49520,198122,792553,3170329,12681552
9,49520,198122,792553,3170329,12681552
10,49520,198122,792553,3170329,12681552
