run,10000,100000,1000000,10000000,100000000,1000000000
1,0.036757,0.312920,2.432960,22.894623,227.862633,2273.839452
2,0.036744,0.313102,2.433190,22.906775,228.075158,2271.685332
3,0.036912,0.315242,2.436319,23.156422,228.062346,2275.895676
4,0.036701,0.314766,2.433798,23.324656,227.793852,2268.836582
5,0.036932,0.312604,2.432077,22.921178,227.896615,2269.356035
6,0.036687,0.312920,2.474836,23.022688,227.965298,2270.153729
7,0.036717,0.313760,2.435019,23.074864,228.392350,2271.320692
8,0.036716,0.313594,2.461482,23.136512,228.356119,2270.914879
9,0.036774,0.313638,2.433761,23.331125,228.449004,2270.568421
10,0.036726,0.313469,2.434263,23.274875,228.332207,2270.866999
