Run,4800,6400,8192,9600,12288,16384,20480,25600
1,16.772314,40.257288,157.896401,138.805639,336.423663,2933.400213,1607.106760,3201.914477
2,16.601182,39.800448,159.073384,137.602798,334.800116,2930.354359,1638.518449,3302.256446
3,16.679961,40.280297,158.089182,140.888327,337.985680,2945.391610,1583.832438,3172.130973
4,16.563237,39.775686,157.741860,137.683703,333.121002,2945.070566,1593.094203,3167.622220
5,16.618512,39.980925,159.510962,138.067683,334.150336,2945.462789,1586.323309,3169.413628
6,16.590337,40.092082,159.355382,138.399203,336.236693,2942.960196,1606.252646,3202.121830
7,16.571692,39.765666,162.796609,137.221652,332.709830,2928.222286,1583.816760,3161.650229
8,16.661811,39.558112,160.398597,138.363205,335.021827,2946.493511,1589.271098,3140.589354
9,16.718605,40.812053,159.887367,140.506111,336.354604,2944.551986,1582.967009,3186.298299
10,16.877618,40.416720,161.376724,138.012830,333.992906,2945.006704,1613.875713,3207.772543
