Run,400,600,800,1200,1600,2400,3200,4800,6400,9600
1,0.052912,0.161987,0.351340,1.223326,2.972425,11.363214,30.778984,109.658780,266.114328,919.763576
2,0.053281,0.151185,0.364253,1.218553,3.007551,11.343303,31.284084,105.544432,259.227561,912.547160
3,0.053374,0.154840,0.362379,1.217995,2.992431,11.298876,30.580852,105.700095,258.810420,922.877907
4,0.053169,0.162221,0.355963,1.216579,2.937176,11.385633,30.887860,106.226532,264.492452,908.284351
5,0.053243,0.153728,0.352216,1.211554,2.956358,11.377829,30.886386,109.471362,256.530080,921.419188
6,0.053255,0.154464,0.364519,1.221584,3.008992,11.312520,30.678369,104.847629,256.017290,908.540106
7,0.052585,0.157656,0.352557,1.230362,2.945703,11.408164,30.683568,109.177647,256.257739,913.830972
8,0.052700,0.154829,0.352951,1.216585,2.963339,11.261643,30.751514,105.874201,256.272744,914.724253
9,0.053263,0.151214,0.358758,1.217055,2.973967,11.278874,30.872266,109.476502,255.634652,911.772825
10,0.052524,0.158595,0.356560,1.225982,2.964927,11.412152,31.013825,104.260801,255.595058,934.825998
