Run,400,600,800,1200,1600,2400,3200,4800,6400,9600
1,0.043202,0.127347,0.289505,1.025986,2.730657,10.616648,27.552806,98.461539,249.370503,892.472120
2,0.043276,0.132441,0.296482,1.022992,2.740473,10.609810,28.371309,98.726779,243.201963,906.759041
3,0.043498,0.131259,0.288665,1.025804,2.732348,10.545299,28.060814,98.550837,242.539169,891.219820
4,0.043258,0.131246,0.289973,1.021376,2.726625,10.588380,28.094787,102.456656,252.504208,891.438211
5,0.043250,0.132581,0.287718,1.016484,2.732390,10.636934,28.176173,98.923137,256.688072,897.902340
6,0.043468,0.143883,0.294746,1.018319,2.741652,11.203406,28.177561,98.679900,251.638093,892.266675
7,0.043013,0.129466,0.299662,1.036598,2.738556,10.503933,28.100368,98.096567,251.886729,897.047362
8,0.042928,0.129447,0.294611,1.032159,2.793474,10.764126,28.626165,102.471743,245.097531,912.056647
9,0.042953,0.132106,0.290748,1.022818,2.746774,10.222866,28.501910,100.136668,244.796810,894.997228
10,0.043177,0.131966,0.286450,1.017259,2.742693,10.659178,28.501814,100.903435,252.551016,900.148411
