Run,400,600,800,1200,1600,2400,3200,4800,6400,9600
1,0.127037,0.423130,1.001251,3.370046,7.979448,26.933821,63.850665,215.983590,511.840059,1729.668509
2,0.126154,0.424901,1.003379,3.384100,8.019874,27.023240,64.127720,216.009273,513.613204,1735.693712
3,0.126512,0.424287,1.002446,3.379428,8.027009,27.027877,64.163787,217.125387,512.792189,1730.302501
4,0.126667,0.426317,1.008362,3.403327,8.051868,27.124933,64.166777,216.962320,512.839159,1729.029058
5,0.126777,0.425306,1.008184,3.395135,8.036461,27.118100,64.272050,216.693766,512.653956,1731.819100
6,0.126994,0.425651,1.010275,3.396364,8.212178,27.090260,64.227194,216.262972,511.612825,1728.007610
7,0.125829,0.423696,1.001372,3.383623,7.995188,26.968904,63.914384,215.524108,511.799086,1727.346144
8,0.126218,0.424871,1.004767,3.385100,8.027547,27.084828,64.207563,216.130841,511.908526,1726.708795
9,0.126466,0.424779,1.004469,3.384083,8.011602,27.030636,64.099818,217.873429,511.569320,1723.770806
10,0.126639,0.425518,1.006142,3.390467,8.038101,27.075884,64.221873,216.521174,512.117496,1732.643560
