Run,400,600,800,1200,1600,2400,3200,4800,6400,9600
1,0.032200,0.106985,0.260248,1.092430,2.950779,10.116784,25.173258,88.512190,218.734618,792.476231
2,0.032450,0.109018,0.262589,1.091859,2.933385,9.968832,25.242695,88.881059,219.438988,791.364394
3,0.031614,0.108230,0.259895,1.088814,2.956870,9.930864,25.060096,87.890472,219.207789,781.575986
4,0.032340,0.108823,0.261674,1.089145,2.971024,9.667580,25.109397,87.834449,219.439150,787.060540
5,0.032139,0.108600,0.262367,1.090867,2.961146,10.001018,24.823604,88.580863,219.039411,785.386971
6,0.032161,0.106184,0.262292,1.089716,2.962273,9.886215,25.156009,88.448164,219.593807,785.396387
7,0.032141,0.107652,0.261936,1.091594,2.960791,9.829139,25.141143,88.384102,219.701970,784.249383
8,0.032012,0.106097,0.262224,1.090297,2.962530,9.903857,25.103670,87.735173,219.383426,784.374856
9,0.032169,0.108288,0.261840,1.092312,2.954720,10.026206,25.099960,88.057193,218.408711,786.746207
10,0.032279,0.109011,0.262565,1.091944,2.958161,9.816154,25.149011,88.085411,218.627292,782.251981
